Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_22MA_98,-0.0785605257984879,1.622961576424467,0.010663669874341261,58.0,3217.0,4936.0,0.0
MA_22MA_99,0.019718914650175706,1.651781447168414,0.010729100532007286,56.0,3223.0,4936.0,0.0
MA_22MA_100,0.018766083128379636,1.6870733236636157,0.010729098916555064,54.0,3222.0,4936.0,0.0
MA_23MA_33,0.15813962969184522,0.16359232753272512,0.010054919571102001,190.0,2951.0,4936.0,0.0
MA_23MA_34,0.3624133221491058,0.5444292775890538,0.01015076512637817,184.0,2968.0,4936.0,0.0
MA_23MA_35,0.3383515052990429,0.8092893944998225,0.010162254375079165,174.0,2983.0,4936.0,0.0
MA_23MA_36,0.522337797462265,0.5654982833505537,0.010117346035372907,168.0,2979.0,4936.0,0.0
MA_23MA_37,0.5441957987606005,0.5247366360997185,0.010344514365039041,162.0,2994.0,4936.0,0.0
MA_23MA_38,0.5972213979054172,0.41736131825056577,0.010355576805383931,164.0,2996.0,4936.0,0.0
MA_23MA_39,0.6516482189399551,0.8118752944649887,0.01037209611398346,164.0,3001.0,4936.0,0.0
MA_23MA_40,0.4253989709533347,0.7825885156685704,0.010133552798546707,156.0,3004.0,4936.0,0.0
MA_23MA_41,0.4494254575830588,0.6410926480206318,0.010141017572030238,154.0,3014.0,4936.0,0.0
MA_23MA_42,0.2457967279167953,0.7362605744242183,0.010235320702880591,144.0,3030.0,4936.0,0.0
MA_23MA_43,0.28271855397398954,0.6918976671793104,0.01027942387645275,136.0,3038.0,4936.0,0.0
MA_23MA_44,0.2363202806114541,0.5746365960307727,0.010269861176458566,134.0,3037.0,4936.0,0.0
MA_23MA_45,0.25107997977188246,0.6418119886682125,0.010268673101330368,126.0,3034.0,4936.0,0.0
MA_23MA_46,0.21931798819794385,0.6516283643097434,0.0102737339446641,122.0,3041.0,4936.0,0.0
MA_23MA_47,0.15836063421968052,0.6486590123790736,0.010256463419429589,122.0,3038.0,4936.0,0.0
MA_23MA_48,0.19673553684156928,0.5669246623753219,0.010235046797533605,124.0,3036.0,4936.0,0.0
MA_23MA_49,0.26357648312229187,0.7207202376416582,0.010255532848030385,118.0,3044.0,4936.0,0.0
MA_23MA_50,0.24462290733555062,0.613106359699318,0.010301727517507069,118.0,3052.0,4936.0,0.0
MA_23MA_51,0.2343739718263408,0.7645882087150921,0.010302338388270457,110.0,3073.0,4936.0,0.0
MA_23MA_52,0.28378010101636153,0.7768549468993691,0.010308276094641085,108.0,3075.0,4936.0,0.0
MA_23MA_53,0.22163491381920747,0.8130253244621191,0.010290706463246844,110.0,3085.0,4936.0,0.0
MA_23MA_54,0.18492204360602255,0.9034831182168177,0.010297437627558057,108.0,3112.0,4936.0,0.0
